rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher,price_sqrm,room_price,avg_room_size,quiet_neighboorhood,parcet,family_child_friendly,apt_id,url_immoscout,url_homegate,url_flatfox
3.5,73.0,1520,1320,3700,Neumattstrasse 10,Spiez,1986,True,False,True,False,False,False,False,True,True,20.82,434.29,20.86,False,False,False,1520_73.0_3.5_3700_Neumattstrasse10_Spiez,https://www.immoscout24.ch/de/d/wohnung-mieten-spiez/7106644,,
4.5,130.0,1500,1300,3176,Pfrundstrasse 28,Neuenegg,2021,True,False,False,True,False,False,False,True,True,11.54,333.33,28.89,False,False,False,1500_130.0_4.5_3176_Pfrundstrasse28_Neuenegg,https://www.immoscout24.ch/de/d/wohnung-mieten-neuenegg/7106646,,
3.5,100.0,2590,2290,2572,Unterdorfstrasse 18,Mörigen,2017,True,False,True,True,False,False,True,True,True,25.9,740.0,28.57,False,False,False,2590_100.0_3.5_2572_Unterdorfstrasse18_Mörigen,https://www.immoscout24.ch/de/d/wohnung-mieten-moerigen/7085353,,
3.5,100.0,2190,1890,2572,Unterdorfstrasse 18,Mörigen,2017,True,False,True,True,False,False,True,True,True,21.9,625.71,28.57,False,False,False,2190_100.0_3.5_2572_Unterdorfstrasse18_Mörigen,https://www.immoscout24.ch/de/d/wohnung-mieten-moerigen/7085356,,
3.5,87.5,1445,1240,2503,Stämpflistrasse 101,Biel/Bienne,2022,True,False,True,False,False,False,False,False,False,16.51,412.86,25.0,False,True,False,1445_87.5_3.5_2503_Stämpflistrasse101_Biel/Bienne,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7106642,,
3.0,78.0,1190,940,2533,Neu'Chemin 3A,Evilard,2021,True,False,False,False,False,False,False,False,False,15.26,396.67,26.0,True,True,False,1190_78.0_3.0_2533_Neu'Chemin3A_Evilard,https://www.immoscout24.ch/de/d/wohnung-mieten-evilard/7106637,,
3.5,70.0,1350,1150,2502,Bahnhofstrasse 38,Biel/Bienne,0,False,False,True,True,False,True,False,False,True,19.29,385.71,20.0,False,True,False,1350_70.0_3.5_2502_Bahnhofstrasse38_Biel/Bienne,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7106633,,
4.5,85.0,1700,280,3122,Hagwiesenstrasse 6,Kehrsatz,2022,True,False,False,True,False,False,False,True,True,20.0,377.78,18.89,False,False,True,1700_85.0_4.5_3122_Hagwiesenstrasse6_Kehrsatz,https://www.immoscout24.ch/de/d/wohnung-mieten-kehrsatz/7106623,,
3.0,85.0,950,790,3126,Moosstrasse 39,Kaufdorf,2022,True,True,False,True,False,False,False,True,True,11.18,316.67,28.33,False,False,False,950_85.0_3.0_3126_Moosstrasse39_Kaufdorf,https://www.immoscout24.ch/de/d/wohnung-mieten-kaufdorf/7106364,,
3.5,100.0,950,750,2710,Grand-Rue 39,Tavannes,0,False,False,False,False,False,False,False,False,True,9.5,271.43,28.57,False,False,False,950_100.0_3.5_2710_Grand-Rue39_Tavannes,https://www.immoscout24.ch/de/d/wohnung-mieten-tavannes/7106309,,
4.5,145.0,2900,2460,3074,Kräyigenweg 86,Muri b. Bern,2014,True,False,True,True,False,False,False,True,True,20.0,644.44,32.22,True,True,False,2900_145.0_4.5_3074_Kräyigenweg86_Murib.Bern,https://www.immoscout24.ch/de/d/wohnung-mieten-muri-b-bern/7024337,,
3.5,60.0,1210,1020,3422,Alpenweg 2,Alchenflüh,2014,True,True,False,True,False,False,False,False,True,20.17,345.71,17.14,False,False,False,1210_60.0_3.5_3422_Alpenweg2_Alchenflüh,https://www.immoscout24.ch/de/d/wohnung-mieten-alchenflueh/7105326,,
3.5,87.0,1250,1050,3177,Kreuzplatz 2,Laupen BE,2007,True,True,False,True,False,False,False,True,True,14.37,357.14,24.86,False,False,False,1250_87.0_3.5_3177_Kreuzplatz2_LaupenBE,https://www.immoscout24.ch/de/d/wohnung-mieten-laupen-be/7081967,,
4.5,170.0,2450,2158,3313,Binelweg 8,Büren zum Hof,2020,True,False,True,False,False,False,False,True,True,14.41,544.44,37.78,False,True,False,2450_170.0_4.5_3313_Binelweg8_BürenzumHof,https://www.immoscout24.ch/de/d/duplex--maisonette-wohnung-mieten-bueren-zum-hof/7105352,,
3.5,100.0,1150,950,2720,Le Ténor 24,Tramelan,2022,True,True,False,True,False,False,False,False,True,11.5,328.57,28.57,False,False,False,1150_100.0_3.5_2720_LeTénor24_Tramelan,https://www.immoscout24.ch/de/d/wohnung-mieten-tramelan/6948939,,
4.0,90.0,1550,1300,3380,Beundenstrasse 6,Wangen an der Aare,2019,False,False,False,True,False,False,False,True,True,17.22,387.5,22.5,True,False,False,1550_90.0_4.0_3380_Beundenstrasse6_WangenanderAare,https://www.immoscout24.ch/de/d/wohnung-mieten-wangen-an-der-aare/7105334,,
2.5,62.0,1040,916,3380,Städtli 10,Wangen an der Aare,0,False,False,False,False,False,False,False,True,True,16.77,416.0,24.8,True,False,False,1040_62.0_2.5_3380_Städtli10_WangenanderAare,https://www.immoscout24.ch/de/d/dachwohnung-mieten-wangen-an-der-aare/7099601,,
3.0,70.0,1390,1224,3063,Worblentalstrassse 103,Ittigen,2022,True,False,False,False,False,False,False,False,False,19.86,463.33,23.33,True,False,False,1390_70.0_3.0_3063_Worblentalstrassse103_Ittigen,https://www.immoscout24.ch/de/d/wohnung-mieten-ittigen/7103273,,
4.5,91.0,1500,1250,4900,Lagerweg 8,Langenthal,2009,True,True,True,True,False,True,False,False,False,16.48,333.33,20.22,False,True,False,1500_91.0_4.5_4900_Lagerweg8_Langenthal,https://www.immoscout24.ch/de/d/wohnung-mieten-langenthal/7050758,,https://flatfox.ch/de/wohnung/lagerweg-8-4900-langenthal/501466/
