rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher,price_sqrm,room_price,avg_room_size,quiet_neighboorhood,parcet,family_child_friendly,apt_id,url_flatfox
3.0,64.0,1410,1260,3076,Schulhausstrasse 61,Worb,0,True,True,False,False,False,False,False,False,True,22.03,470.0,21.33,False,True,False,1410_64.0_3.0_3076_Schulhausstrasse61_Worb,https://flatfox.ch/de/wohnung/schulhausstrasse-61-3076-worb/520076/
4.5,90.0,1590,1340,3232,Bahnhofstrasse 11,Ins,0,True,True,True,True,False,True,False,False,True,17.67,353.33,20.0,False,True,False,1590_90.0_4.5_3232_Bahnhofstrasse11_Ins,https://flatfox.ch/de/wohnung/bahnhofstrasse-11-3232-ins/601361/
3.5,90.0,2500,2500,3083,No information,Trimstein,0,True,True,False,True,False,False,False,True,True,27.78,714.29,25.71,False,False,False,2500_90.0_3.5_3083_Noinformation_Trimstein,https://flatfox.ch/de/wohnung/3083-trimstein/603644/
4.0,79.0,1663,1413,3084,Kirchstrasse 154,Wabern,1965,True,False,False,False,False,False,False,False,False,21.05,415.75,19.75,False,True,False,1663_79.0_4.0_3084_Kirchstrasse154_Wabern,https://flatfox.ch/de/wohnung/kirchstrasse-154-3084-wabern/581557/
3.5,77.0,1100,900,4900,St. Urbanstrasse 45,Langenthal,1982,True,True,False,True,False,False,False,False,False,14.29,314.29,22.0,False,False,False,1100_77.0_3.5_4900_StUrbanstrasse45_Langenthal,https://flatfox.ch/de/wohnung/st-urbanstrasse-45-4900-langenthal/601163/
3.5,107.0,1695,1475,4537,Eiche 15,Wiedlisbach,2019,True,True,False,False,False,False,False,True,True,15.84,484.29,30.57,False,False,False,1695_107.0_3.5_4537_Eiche15_Wiedlisbach,https://flatfox.ch/de/wohnung/eiche-15-4537-wiedlisbach/545403/
4.5,153.0,3195,2850,3037,Dettigenstrasse 3,Herrenschwanden,2015,True,False,True,False,True,False,False,False,False,20.88,710.0,34.0,False,False,False,3195_153.0_4.5_3037_Dettigenstrasse3_Herrenschwanden,https://flatfox.ch/de/wohnung/dettigenstrasse-3-3037-herrenschwanden/557658/
3.0,70.0,2070,1840,3007,Rosenweg 17,Bern,1900,True,False,False,True,False,False,False,False,True,29.57,690.0,23.33,False,True,False,2070_70.0_3.0_3007_Rosenweg17_Bern,https://flatfox.ch/de/wohnung/rosenweg-17-3007-bern/575318/
2.5,51.0,1406,1276,3018,Mühledorfstrasse 2A,Bern,2017,False,True,True,False,True,False,False,False,True,27.57,562.4,20.4,False,True,False,1406_51.0_2.5_3018_Mühledorfstrasse2A_Bern,https://flatfox.ch/de/wohnung/muhledorfstrasse-2a-3018-bern/591904/
3.5,82.0,1800,1590,2502,Jakob-Stämpfli-Strasse 120,Biel/Bienne,0,True,False,True,False,True,True,False,True,True,21.95,514.29,23.43,False,False,False,1800_82.0_3.5_2502_Jakob-Stämpfli-Strasse120_Biel/Bienne,https://flatfox.ch/de/wohnung/jakob-stampfli-strasse-120-2502-bielbienne/576154/
3.5,74.0,1350,1050,2555,Mattenstr. 7,Brügg BE,1986,True,False,False,False,False,False,False,False,True,18.24,385.71,21.14,False,True,False,1350_74.0_3.5_2555_Mattenstr7_Brügg BE,https://flatfox.ch/de/wohnung/mattenstr-7-2555-brugg-be/584441/
4.0,85.0,1700,1350,3322,Oberdorfstrasse 46,Urtenen-Schönbühl,1932,True,False,False,True,False,False,False,True,True,20.0,425.0,21.25,False,True,False,1700_85.0_4.0_3322_Oberdorfstrasse46_Urtenen-Schönbühl,https://flatfox.ch/de/wohnung/oberdorfstrasse-46-3322-urtenen-schonbuhl/602800/
5.0,130.0,3240,3240,2558,No information,Aegerten,0,True,True,False,True,False,False,False,True,True,24.92,648.0,26.0,False,False,False,3240_130.0_5.0_2558_Noinformation_Aegerten,https://flatfox.ch/de/wohnung/2558-aegerten/603546/
3.5,63.0,1250,1150,2555,Neubrückstrasse 40,Brügg BE,2016,True,True,False,True,False,True,False,False,False,19.84,357.14,18.0,False,False,False,1250_63.0_3.5_2555_Neubrückstrasse40_Brügg BE,https://flatfox.ch/de/wohnung/neubruckstrasse-40-2555-brugg-be/531256/
3.5,92.0,1760,1460,3052,Häberlimatteweg 11,Zollikofen,1984,True,False,True,False,False,False,False,False,True,19.13,502.86,26.29,False,True,False,1760_92.0_3.5_3052_Häberlimatteweg11_Zollikofen,https://flatfox.ch/de/wohnung/haberlimatteweg-11-3052-zollikofen/556457/
1.0,25.0,1375,1375,3065,No information,Bolligen,0,True,True,False,True,False,False,False,True,False,55.0,1375.0,25.0,False,True,False,1375_25.0_1.0_3065_Noinformation_Bolligen,https://flatfox.ch/de/wohnung/3065-bolligen/603566/
3.0,80.0,2300,2300,3007,No information,Bern,0,True,True,False,False,False,False,False,True,True,28.75,766.67,26.67,False,False,False,2300_80.0_3.0_3007_Noinformation_Bern,https://flatfox.ch/de/wohnung/3007-bern/603629/
3.0,83.0,1895,1650,3007,Monbijoustrasse 75,Bern,1938,True,False,True,False,False,False,False,False,True,22.83,631.67,27.67,False,True,False,1895_83.0_3.0_3007_Monbijoustrasse75_Bern,https://flatfox.ch/de/wohnung/monbijoustrasse-75-3007-bern/601407/
4.5,95.0,1475,1185,2543,Solothurnstrasse 67,Lengnau BE,1989,True,True,True,False,False,False,False,False,True,15.53,327.78,21.11,False,False,False,1475_95.0_4.5_2543_Solothurnstrasse67_Lengnau BE,https://flatfox.ch/de/wohnung/solothurnstrasse-67-2543-lengnau-be/573758/
