rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher,price_sqrm,room_price,avg_room_size,quiet_neighboorhood,parcet,family_child_friendly,apt_id,url_immoscout
4.5,115.0,1690,1488,3716,Guldeli 17g,Kandergrund,0,True,False,True,True,False,True,False,True,True,14.7,375.56,25.56,True,False,True,1690_115.0_4.5_3716_Guldeli17g_Kandergrund,https://www.immoscout24.ch/de/d/wohnung-mieten-kandergrund/7098151
5.5,100.0,1870,1620,3600,Frutigenstrasse 24 G,Thun,1998,True,False,True,False,False,False,False,False,False,18.7,340.0,18.18,False,True,False,1870_100.0_5.5_3600_Frutigenstrasse24G_Thun,https://www.immoscout24.ch/de/d/wohnung-mieten-thun/7059964
3.5,88.0,1690,1470,3110,Aeschistrasse 15,Münsingen,0,True,False,True,False,False,False,False,False,False,19.2,482.86,25.14,False,True,False,1690_88.0_3.5_3110_Aeschistrasse15_Münsingen,https://www.immoscout24.ch/de/d/wohnung-mieten-muensingen/6957906
3.5,80.0,1640,1420,3603,Lerchenfeldstrasse 67,Thun,2003,True,True,False,True,False,False,False,True,True,20.5,468.57,22.86,False,True,False,1640_80.0_3.5_3603_Lerchenfeldstrasse67_Thun,https://www.immoscout24.ch/de/d/dachwohnung-mieten-thun/6863303
3.5,75.0,1400,1150,3506,Erlessenweg 5,Grosshöchstetten,2012,True,False,False,True,False,False,False,False,True,18.67,400.0,21.43,False,True,False,1400_75.0_3.5_3506_Erlessenweg5_Grosshöchstetten,https://www.immoscout24.ch/de/d/wohnung-mieten-grosshoechstetten/7097440
3.5,72.0,1500,1350,2575,Hauptstrasse 25,Hagneck,2018,True,True,False,True,False,False,False,True,True,20.83,428.57,20.57,False,False,False,1500_72.0_3.5_2575_Hauptstrasse25_Hagneck,https://www.immoscout24.ch/de/d/wohnung-mieten-hagneck/7097378
2.5,60.0,1100,900,3043,Säriswilstrasse 19,Uettligen,0,True,False,False,False,False,False,False,False,True,18.33,440.0,24.0,False,False,False,1100_60.0_2.5_3043_Säriswilstrasse19_Uettligen,https://www.immoscout24.ch/de/d/wohnung-mieten-uettligen/6565650
4.5,75.0,1500,1300,3613,Lerchenweg 13,Steffisburg,2022,True,True,False,False,False,False,False,False,True,20.0,333.33,16.67,True,False,False,1500_75.0_4.5_3613_Lerchenweg13_Steffisburg,https://www.immoscout24.ch/de/d/wohnung-mieten-steffisburg/7097269
4.5,112.5,1890,1660,3052,Wydackerstrasse 5,Zollikofen,0,True,False,False,False,False,False,False,False,False,16.8,420.0,25.0,True,False,False,1890_112.5_4.5_3052_Wydackerstrasse5_Zollikofen,https://www.immoscout24.ch/de/d/wohnung-mieten-zollikofen/7097049
3.5,87.5,1525,1295,3053,Fellenbergstrasse 18,Münchenbuchsee,1990,True,False,False,True,False,False,False,False,True,17.43,435.71,25.0,True,True,False,1525_87.5_3.5_3053_Fellenbergstrasse18_Münchenbuchsee,https://www.immoscout24.ch/de/d/wohnung-mieten-muenchenbuchsee/7097168
2.5,60.0,1150,950,3425,St. Niklausstrasse 5,Koppigen,0,True,False,False,False,False,False,False,True,True,19.17,460.0,24.0,False,False,False,1150_60.0_2.5_3425_St.Niklausstrasse5_Koppigen,https://www.immoscout24.ch/de/d/wohnung-mieten-koppigen/4717891
2.5,63.0,1640,1490,3400,Mühlengasse 6,Burgdorf,2020,True,False,False,False,False,False,False,True,True,26.03,656.0,25.2,False,True,False,1640_63.0_2.5_3400_Mühlengasse6_Burgdorf,https://www.immoscout24.ch/de/d/wohnung-mieten-burgdorf/6217104
3.5,87.5,1300,1100,3303,Staffelstrasse 16,Jegenstorf,0,False,False,False,True,False,False,False,False,True,14.86,371.43,25.0,True,False,False,1300_87.5_3.5_3303_Staffelstrasse16_Jegenstorf,https://www.immoscout24.ch/de/d/wohnung-mieten-jegenstorf/7096964
4.5,95.0,1480,1200,3303,Staffelstrasse 16,Jegenstorf,0,True,False,False,True,False,False,False,False,True,15.58,328.89,21.11,False,False,False,1480_95.0_4.5_3303_Staffelstrasse16_Jegenstorf,https://www.immoscout24.ch/de/d/wohnung-mieten-jegenstorf/7059337
3.0,56.0,1190,840,2503,Madretschstrasse 139,Biel/Bienne,2019,False,True,False,False,False,False,False,False,False,21.25,396.67,18.67,False,False,False,1190_56.0_3.0_2503_Madretschstrasse139_Biel/Bienne,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7012604
4.5,129.0,2440,2150,3400,Schmiedengasse 23,Burgdorf,2016,False,False,True,False,False,False,False,True,True,18.91,542.22,28.67,False,True,False,2440_129.0_4.5_3400_Schmiedengasse23_Burgdorf,https://www.immoscout24.ch/de/d/wohnung-mieten-burgdorf/7021674
4.5,112.5,2400,2000,2560,Weyermattstrasse 18,Nidau,2022,True,False,True,False,False,False,False,True,True,21.33,533.33,25.0,False,False,False,2400_112.5_4.5_2560_Weyermattstrasse18_Nidau,https://www.immoscout24.ch/de/d/wohnung-mieten-nidau/1661793
2.0,45.0,850,50,4923,Aegertenstrasse 40,Wynau,2021,False,True,False,True,False,False,False,True,True,18.89,425.0,22.5,False,False,False,850_45.0_2.0_4923_Aegertenstrasse40_Wynau,https://www.immoscout24.ch/de/d/wohnung-mieten-wynau/7096262
